id_joueurs_2018,prenom_joueurs,nom_joueurs,id_pays,nb_buts
,Harry,Kane,5,6
,Romelu,Lukaku,11,4
,Antoine,Griezmann,34,4
,Kylian,Mbappé,34,4
,Cristiano,Ronaldo,63,4
,Denis,Cherichev,67,4
,Eden,Hazard,11,3
,Yerry,Mina,20,3
,Mario,Mandzukic,25,3
,Ivan,Perisic,25,3
,Diego,Costa,32,3
,Artem,Dziouba,67,3
,Edinson,Cavani,83,3
,John,Stones,5,2
,Sergio,Agüero,8,2
,Mile,Jedinak,9,2
,Philippe,Coutinho,14,2
,Neymar,Da Silva Santos Junior,14,2
,Heung-min,Son,22,2
,Luka,Modric,25,2
,Mohamed,Salah,29,2
,Takashi,Inui,50,2
,Ahmed,Musa,54,2
,Andreas,Granqvist,74,2
,Wahbi,Khazri,79,2
,Luis,Suarez,83,2
,Toni,Kroos,3,1
,Marco,Reus,3,1
,Dele,Alli,5,1
,Jesse,Lingard,5,1
,Harry,Maguire,5,1
,Kieran,Trippier,5,1
,Salem,Mohammed,7,1
,Salman,Mohammed,7,1
,Angel,Di Maria,8,1
,Gabriel,Mercado,8,1
,Lionel,Messi,8,1
,Marcos,Rojo,8,1
,Michy,Batshuayi,11,1
,Nacer,Chadli,11,1
,Kevin,De Bruyne,11,1
,Marouane,Fellaini,11,1
,Adnan,Januzaj,11,1
,Dries,Mertens,11,1
,Thomas,Meunier,11,1
,Jan,Vertonghen,11,1
,Renato,Augusto,14,1
,Roberto,Firmino,14,1
,Paulinho,Bezerra Maciel Junior,14,1
,Thiago,Silva,14,1
,Juan,Guillermo,20,1
,Radamel,Falcao,20,1
,Juan,Quintero,20,1
,Young-gwon,Kim,22,1
,Kendall,Waston,23,1
,Milan,Badelj,25,1
,Andrej,Kramaric,25,1
,Ivan,Rakitic,25,1
,Ante,Rebic,25,1
,Domagoj,Vida,25,1
,Christian,Eriksen,27,1
,Mathias,Zanka,27,1
,Yussuf,Yurary,27,1
,Iago,Aspas,32,1
,Nacho,Fernandez,32,1
,Isco,Alarcon Suarez,32,1
,Benjamin,Pavard,34,1
,Paul,Pogba,34,1
,Samuel,Umtiti,34,1
,Raphaël,Varane,34,1
,Karim,Ansarifard,43,1
,Alfred,Finnbogason,46,1
,Gylfi,Thor,46,1
,Genki,Haraguchi,50,1
,Keisuke,Honda,50,1
,Shinji,Kagawa,50,1
,Yuya,Osako,50,1
,Khalid,Boutaïb,52,1
,Youssef,En-Nesyri,52,1
,Javier,Hernandez,53,1
,Hirving,Lozano,53,1
,Carlos,Vela,53,1
,Victor,Moses,54,1
,Felipe,Baloy,57,1
,Jan,Bednarek,62,1
,Grzegorz,Krychowiak,62,1
,Pepe,Alarcon Suarez,63,1
,Ricardo,Quaresma,63,1
,André,Carrillo,61,1
,Paolo,Guerrero,61,1
,Mario,Fernandes,67,1
,Youri,Gazinski,67,1
,Alexandre,Golovine,67,1
,Aleksandar,Kolarov,70,1
,Aleksandar,Mitrovic,70,1
,Josip,Drmic,75,1
,Blerim,Dzemaili,75,1
,Xherdan,Shaqiri,75,1
,Granit,Xhaka,75,1
,Steven,Zuber,75,1
,Ludwig,Augustinsson,74,1
,Emil,Forsberg,74,1
,Ola,Toivonen,74,1
,Sadio,Mané,69,1
,M'Baye,Niang,69,1
,Moussa,Wagué,69,1
,Fakhreddine,Ben,79,1
,Dylan,Bronn,79,1
,Ferjani,Sassi,79,1
,Jose,Gimenez,83,1