prenom_joueur,nom_joueur,id_pays
Thomas,Muller,3
 Mesut,Ozil,3
 Toni,Kroos,3
 Manuel,Neuer,3
 Mario,Gomez,3
 Sami,Khedira,3
 Jerome,Boateng,3
 Mats,Hummels,3
 Julian,Draxler,3
 Jonas,Hector,3
 Marco,Reus,3
 Joshua,Kimmich,3
 Ilkay,Gundogan,3
 Sebastian,Rudy,3
 Antonio,Rudiger,3
 Marc-Andre,Ter Stegen,3
 Julian,Brandt,3
 Matthias,Ginter,3
 Timo,Werner,3
 Leon,Goretzka,3
 Niklas,Sule,3
 Marvin,Plattenhardt,3
 Kevin,Trapp,3
 Gary,Cahill,5
 Jordan,Henderson,5
 Raheem,Sterling,5
 Danny,Welbeck,5
 Kyle,Walker,5
 Ashley,Young,5
 John,Stones,5
 Eric,Dier,5
 Dele,Alli,5
 Harry,Kane,5
 Phil,Jones,5
 Jamie,Vardy,5
 Marcus,Rashford,5
 Daniel,Rose,5
 Jesse,Lingard,5
 Fabian,Delph,5
 Kieran,Trippier,5
 Harry,Maguire,5
 Jack,Butland,5
 Jordan,Pickford,5
 Ruben,Loftus-Cheek,5
 Trent,Alexander-Arnold,5
 Nick,Pope,5
 Osama,Hawsawi,7
 Taisir,Al-Jassim,7
 Yehya,Sulaiman Al-Shehri,7
 Fahad,Al-Muwallad,7
 Salman,Mohammed Al-Faraj,7
 Omar,Hawsawi,7
 Mohammad,Al-Sahlawi,7
 Mansour,Al-Harbi,7
 Yasir,Gharsan Al-Shahrani,7
 Abdulmalek,Al-Khaibri,7
 Salem,Mohammed Al-Dawsari,7
 Yasser,Al-Mosailem,7
 Housain,Al-Mogahwi,7
 Abdullah,Otayf,7
 Muhannad,Assiri,7
 Motaz,Hawsawi,7
 Mohammed,Al-Breik,7
 Abdullah,Al-Mayouf,7
 Hattan,Bahebri,7
 Mohammed,Al-Owais,7
 Mohamed,Kanno,7
 Ali,Al-Bulaihi,7
 Abdullah,Al-Khaibari,7
 Javier,Mascherano,8
 Lionel,Messi,8
 Angel,Di Maria,8
 Sergio,Aguero,8
 Gonzalo,Higuain,8
 Ever,Banega,8
 Marcos,Rojo,8
 Nicolas,Otamendi,8
 Lucas,Biglia,8
 Enzo,Perez,8
 Gabriel,Mercado,8
 Paulo,Dybala,8
 Eduardo,Salvio,8
 Marcos,Acuna,8
 Federico,Fazio,8
 Cristian,Pavon,8
 Nicolas,Tagliafico,8
 Nahuel,Guzman,8
 Maximiliano,Meza,8
 Wilfredo,Caballero,8
 Cristian,Ansaldi,8
 Giovani,Lo Celso,8
 Franco,Armani,8
 Tim,Cahill,9
 Mile,Jedinak,9
 Mark,Milligan,9
 Robbie,Kruse,9
 Mathew,Leckie,9
 Mathew,Ryan,9
 Tomas,Rogic,9
 Trent,Sainsbury,9
 Tomi,Juric,9
 Aaron,Mooy,9
 Massimo,Luongo,9
 Aziz,Behich,9
 Jackson,Irvine,9
 Milos,Degenek,9
 Joshua,Risdon,9
 Bradley,Jones,9
 Jamie,Maclaren,9
 Andrew,Nabbout,9
 Daniel,Arzani,9
 Matthew,Jurman,9
 James,Meredith,9
 Dimitri,Petratos,9
 Danny,Vukovic,9
 Jan,Vertonghen,11
 Axel,Witsel,11
 Eden,Hazard,11
 Marouane,Fellaini,11
 Toby,Alderweireld,11
 Vincent,Kompany,11
 Mousa,Dembele,11
 Dries,Mertens,11
 Romelu,Lukaku,11
 Thomas,Vermaelen,11
 Kevin,De Bruyne,11
 Thibaut,Courtois,11
 Nacer,Chadli,11
 Yannick,Carrasco,11
 Thomas,Meunier,11
 Simon,Mignolet,11
 Michy,Batshuayi,11
 Thorgan,Hazard,11
 Youri,Tielemans,11
 Derdryck,Boyata,11
 Adnan,Januzaj,11
 Leander,Dendoncker,11
 Koen,Casteels,11
 Neymar,Da Silva Santos Junior,14
 Thiago,Silva,14
 Willian,Borges da Silva,14
 Marcelo,Vieira da Silva Junior,14
 Paulinho,Bezerra Maciel Junior,14
 Joao,Miranda,14
 Fernandinho,Luiz Roza,14
 Philippe,Coutinho,14
 Filipe,Luis,14
 Alisson,Becker,14
 Renato,Augusto,14
 Carlos,Henrique,14
 Marquinhos,Aoas Correa ,14
 Douglas,Costa,14
 Roberto,Firmino,14
 Gabriel,Jesus,14
 Danilo,Luiz da Silva,14
 Fred,Rodrigues,14
 Taison,Barcellos Freda,14
 Fagner,Conserva Lemo,14
 Pedro,Geromel,14
 Cassio,Ramos,14
 Ederson,Moraes,14
 David,Ospina,20
 Carlos,Sanchez,20
 Radamel,Falcao,20
 Juan,Guillermo,20
 Abel,Aguilar,20
 James,Rodriguez,20
 Cristian,Zapata,20
 Carlos,Bacca,20
 Santiago,Arias,20
 Luis,Muriel,20
 Juan,Quintero,20
 Yerry,Mina,20
 Oscar,Murillo,20
 Farid,Diaz,20
 Davinson,Sanchez,20
 Wilmar,Barrios,20
 Mateus,Uribe,20
 Jefferson,Lerma,20
 Johan,Mojica,20
 Miguel,Borja,20
 Jose,Heriberto,20
 Camilo,Vargas,20
 Jose,Fernando,20
 Sung-yong,Ki,22
 Ja-cheol,Koo,22
 Heung-min,Son,22
 Young-gwon,Kim,22
 Hyun-soo,Jang,22
 Shin-wook,Kim,22
 Jae-sung,Lee,22
 Joo-ho,Park,22
 Seung-gyu,Kim,22
 Woo-young,Jung,22
 Yong,Lee,22
 Min-woo,Kim,22
 Yo-han,Go,22
 Chul,Hong,22
 Hee-chan,Hwang,22
 Jin-hyeon,Kim,22
 Se-jong,Ju,22
 Hyun-woo,Cho,22
 Young-sun,Yun,22
 Seung-hyun,Jung,22
 Seung-woo,Lee,22
 Seon-min,Moon,22
 Ban-suk,Oh,22
 Celso,Borges,23
 Bryan,Ruiz,23
 Keylor,Navas,23
 Cristian,Bolanos,23
 Joel,Campbell,23
 Johnny,Acosta,23
 Giancarlo,Gonzalez,23
 Cristian,Gamboa,23
 Marco,Urena,23
 Randall,Azofeifa,23
 Yeltsin,Tejeda,23
 Johan,Venegas,23
 David,Guzman,23
 Bryan,Oviedo,23
 Oscar,Duarte,23
 Patrick,Pemberton,23
 Francisco,Calvo,23
 Rodney,Wallace,23
 Kendall,Waston,23
 Daniel,Colindres,23
 Leonel,Moreira,23
 Kenner,Gutierrez,23
 Ian,Smith,23
 Luka,Modric,25
 Vedran,Corluka,25
 Ivan,Rakitic,25
 Mario,Mandzukic,25
 Ivan,Perisic,25
 Domagoj,Vida,25
 Ivan,Strinic,25
 Mateo,Kovacic,25
 Dejan,Lovren,25
 Danijel,Subasic,25
 Nikola,Kalinic,25
 Milan,Badelj,25
 Sime,Vrsaljko,25
 Marcelo,Brozovic,25
 Andrej,Kramaric,25
 Josip,Pivaric,25
 Ante,Rebic,25
 Marko,Pjaca,25
 Lovre,Kalinic,25
 Tin,Jedvaj,25
 Filip,Bradaric,25
 Duje,Caleta-Car,25
 Dominik,Livakovic,25
 Simon,Kjaer,27
 Christian,Eriksen,27
 William,Kvist,27
 Michael,Krohn-Dehli,27
 Kasper,Schmeichel,27
 Lasse,SchOne,27
 Nicolai,JOrgensen,27
 Yussuf,Yurary,27
 Thomas,Delaney,27
 Martin,Braithwaite,27
 Andreas,Cornelius,27
 Andreas,Christensen,27
 Viktor,Fischer,27
 Pione,Sisto,27
 Henrik,Dalsgaard,27
 Jens,Stryger,27
 Jannick,Vestergaard,27
 Mathias,Zanka,27
 Kasper,Dolberg,27
 Frederik,ROnnow,27
 Lukas,Lerager,27
 Jonas,Knudsen,27
 Jonas,LOssl,27
 Essam,El-Hadary,29
 Ahmed,Fathi,29
 Ahmed,Elmohamady,29
 Mohamed,Elneny,29
 Mohamed,Salah,29
 Mohamed,Abdel-Shafi,29
 Ahmed,Hegazy,29
 Abdallah,Said,29
 Mahmoud,Shikabala,29
 Mahmoud,Hassan,29
 Marwan,Mohsen,29
 Ramadan,Sobhi,29
 Ali,Gabr,29
 Tarek,Hamed,29
 Omar,Gaber,29
 Sherif,Ekramy,29
 Mahmoud,Kahraba,29
 Amr,Warda,29
 Saad,Samir,29
 Sam,Morsy,29
 Mohamed,El-Shenawy,29
 Ayman,Ashraf,29
 Mahmoud,Hamdy,29
 Sergio,Ramos,32
 Andres,Iniesta,32
 David,Silva,32
 Sergio,Busquets,32
 Gerard,Pique,32
 Jordi,Alba,32
 Koke,Resurrección,32
 Jose,Reina,32
 David,De Gea,32
 Isco,Alarcon Suarez,32
 Thiago,Alcantara,32
 Diego,Costa,32
 Cesar,Azpilicueta,32
 Nacho,Monreal,32
 Nacho,Fernandez,32
 Daniel,Carvajal,32
 Marco,Asensio,32
 Iago,Aspas,32
 Saul,Niguez,32
 Lucas,Vazquez,32
 Rodrigo,Moreno Machado,32
 Alvaro,Odriozola,32
 Kepa,Arrizabalaga,32
 Hugo,Lloris,34
 Olivier,Giroud,34
 Blaise,Matuidi,34
 Antoine,Griezmann,34
 Paul,Pogba,34
 Raphaël,Varane,34
 Adil,Rami,34
 N'Golo,Kante,34
 Steve,Mandanda,34
 Samuel,Umtiti,34
 Kylian,Mbappe,34
 Djibril,Sidibe,34
 Nabil,Fekir,34
 Ousmane,Dembele,34
 Thomas,Lemar,34
 Corentin,Tolisso,34
 Lucas,Hernandez,34
 Benjamin,Pavard,34
 Benjamin,Mendy,34
 Steven,Nzonzi,34
 Florian,Thauvin,34
 Presnel,Kimpembe,34
 Alphonse,Areola,34
 Ehsan,Hajsafi,43
 Masoud,Shojaei,43
 Karim,Ansarifard,43
 Pejman,Montazeri,43
 Ashkan,Dejagah,43
 Reza,Ghoochanneijhad,43
 Alireza,Jahanbakhsh,43
 Vahid,Amiri,43
 Omid,Ebrahimi,43
 Sardar,Azmoun,43
 Ramin,Rezaeian,43
 Morteza,Pouraliganji,43
 Mehdi,Taremi,43
 Saeid,Ezatolahi,43
 Alireza,Beiranvand,43
 Milad,Mohammadi,43
 Mehdi,Torabi,43
 Mohammad,Reza,43
 Roozbeh,Cheshmi,43
 Saman,Ghoddos,43
 Mohammad,Rashid,43
 Majid,Hosseini,43
 Amir,Abedzadeh,43
 Birkir,Mar Sævarsson,46
 Ragnar,Sigurdsson,46
 Aron,Einar,46
 Birkir,Bjarnason,46
 Kari,Arnason,46
 Johann,Berg,46
 Emil,Hallfredsson,46
 Gylfi,Thor,46
 Ari,Freyr,46
 Hannes,Thor,46
 Alfred,Finnbogason,46
 Rurik,Gislason,46
 Samuel,Fridjonsson,46
 Olafur-Ingi,Skulason,46
 Jon,Dadi,46
 Sverrir,Ingi,46
 Arnor,Ingvi,46
 Hordur,Bjorgvin,46
 BjOrn,Bergmann,46
 Holmar,Orn,46
 Albert,Gudmundsson,46
 Frederik,Schram,46
 Runar,Alex,46
 Shinji,Okazaki,50
 Makoto,Hasebe,50
 Yuto,Nagatomo,50
 Keisuke,Honda,50
 Shinji,Kagawa,50
 Eiji,Kawashima,50
 Maya,Yoshida,50
 Hiroki,Sakai,50
 Hotaru,Yamaguchi,50
 Gotoku,Sakai,50
 Genki,Haraguchi,50
 Tomoaki,Makino,50
 Yuya,Osako,50
 Takashi,Inui,50
 Takashi,Usami,50
 Yoshinori,Muto,50
 Gaku,Shibasaki,50
 Gen,Shoji,50
 Wataru,Endo,50
 Masaaki,Higashiguchi,50
 Ryota,Oshima,50
 Kosuke,Nakamura,50
 Naomichi,Ueda,50
 Mbark,Boussoufa,52
 Mehdi,Benatia,52
 Karim,El-Ahmadi,52
 Younes,Belhanda,52
 Nordin,Amrabat,52
 Nabil,Dirar,52
 Manuel,Da,52
 Munir,El-Kajoui,52
 Romain,Saiss,52
 Fayçal,Fajr,52
 Mehdi,Carcela,52
 Hakim,Ziyech,52
 Khalid,Boutaib,52
 Youssef,En-Nesyri,52
 Aziz,Bouhaddouz,52
 Youssef,Ait,52
 Achraf,Hakimi,52
 Hamza,Mendyl,52
 Ayoub,El-Kaabi,52
 Yassine,Bounou,52
 Sofyan,Amrabat,52
 Amine,Harit,52
 Ahmed,Reda,52
 Andres,Guardado,53
 Rafael,Marquez,53
 Giovani,Dos,53
 Javier,Hernandez,53
 Guillermo,Ochoa,53
 Hector,Moreno,53
 Carlos,Vela,53
 Hector,Herrera,53
 Miguel,Layun,53
 Oribe,Peralta,53
 Raul,Jimenez,53
 Jose,de Corona,53
 Javier,Aquino,53
 Hugo,Ayala,53
 Marco,Fabian,53
 Jesus,Manuel,53
 Jonathan,Dos,53
 Hirving,Lozano,53
 Alfredo,Talavera,53
 Jesus,Gallardo,53
 Carlos,Salcedo,53
 Edson,Alvarez,53
 Erick,Gutierrez,53
 John,Obi,54
 Ahmed,Musa,54
 Elderson,Echiejile,54
 Ogenyi,Onazi,54
 Kenneth,Omeruo,54
 Victor,Moses,54
 Abdullahi,Shehu,54
 William,Troost-Ekong,54
 Leon,Balogun,54
 Odion,Jude,54
 Alex,Iwobi,54
 Onyinye,Wilfred,54
 Kelechi,Iheanacho,54
 John,Ogu,54
 Ikechukwu,Ezenwa,54
 Oghenekaro,Etebo,54
 Joel,Obi,54
 Francis,Uzoho,54
 Brian,Idowu,54
 Daniel,Akpeyi,54
 Tyronne,Ebuehi,54
 Chidozie,Awaziem,54
 Simy,Nwankwo,54
 Gabriel,Gomez,57
 Jaime,Penedo,57
 Blas,Perez,57
 Roman,Torres,57
 Luis,Tejada,57
 Armando,Cooper,57
 Felipe,Baloy,57
 Anibal,Godoy,57
 Adolfo,Machado,57
 Gabriel,Torres,57
 Harold,Cummings,57
 Erick,Davis,57
 Abdiel,Arroyo,57
 Jose,Calderon,57
 Edgar,Yoel,57
 Fidel,Escobar,57
 Luis,Ovalle,57
 Michael,Murillo,57
 Valentin,Pimentel,57
 Ismael,Diaz,57
 Ricardo,Avila,57
 Alex,Rodriguez,57
 Jose,Luis,57
 Jakub,Blaszczykowski,62
 Robert,Lewandowski,62
 Lukasz,Piszczek,62
 Kamil,Glik,62
 Kamil,Grosicki,62
 Grzegorz,Krychowiak,62
 Maciej,Rybus,62
 Lukasz,Fabianski,62
 Slawomir,Peszko,62
 Arkadiusz,Milik,62
 Wojciech,Szczesny,62
 Artur,Jedrzejczyk,62
 Piotr,Zielinski,62
 Michal,Pazdan,62
 Thiago,Rangel,62
 Karol,Linetty,62
 Lukasz,Teodorczyk,62
 Bartosz,Bereszynski,62
 Jacek,Goralski,62
 Jan,Bednarek,62
 Rafal,Kurzawa,62
 Dawid,Kownacki,62
 Bartosz,Bialkowski,62
 Cristiano,Ronaldo,63
 João,Moutinho,63
 Pepe,Ferreira,63
 Bruno,Alves,63
 Ricardo,Quaresma,63
 Rui,Patricio,63
 William,Carvalho,63
 João,Mario,63
 Jose,Miguel,63
 Cedric,Soares,63
 Bernardo,Silva,63
 Raphaël,Guerreiro,63
 Adrien,Silva,63
 Andre,Silva,63
 Gelson,Martins,63
 Manuel,Fernandes,63
 Beto,Pimparel,63
 Gonçalo,Guedes,63
 Bruno,Fernandes,63
 Anthony,Lopes,63
 Ricardo,Pereira,63
 Mario,Rui,63
 Ruben,Dias,63
 Paolo,Guerrero,61
 Jefferson,Farfan,61
 Alberto,Rodriguez,61
 Yoshimar,Yotun,61
 Christian,Ramos,61
 Luis,Advincula,61
 Andre,Carrillo,61
 Christian,Cueva,61
 Pedro,Gallese,61
 Renato,Tapia,61
 Paolo,Hurtado,61
 Edison,Flores,61
 Raul,Ruidiaz,61
 Miguel,Trauco,61
 Aldo,Corzo,61
 Andy,Polo,61
 Pedro,Aquino,61
 Anderson,Santamaria,61
 Miguel,Araujo,61
 Carlos,Caceda,61
 Jose,Carvallo,61
 Wilder,Cartagena,61
 Nilson,Loyola,61
 Sergei,Ignachevitch,67
 Igor,Akinfeiev,67
 Youri,Jirkov,67
 Alan,Dzagoiev,67
 Alexandre,Samedov,67
 Fiodor,Smolov,67
 Igor,Smolnikov,67
 Artem,Dziouba,67
 Fiodor,Koudriachov,67
 Alexandre,Golovine,67
 Alexei,Mirantchouk,67
 Alexandre,Ierokhine,67
 Roman,Zobnine,67
 Denis,Cherichev,67
 Vladimir,Granat,67
 Ilya,Koutepov,67
 Vladimir,Gaboulov,67
 Daler,Kouzyaiev,67
 Mario,Fernandes,67
 Youri,Gazinski,67
 Andrei,Semionov,67
 Anton,Mirantchouk,67
 Andrei,Louniov,67
 Branislav,Ivanovic,70
 Vladimir,Stojkovic,70
 Aleksandar,Kolarov,70
 Dusan,Tadic,70
 Antonio,Rukavina,70
 Nemanja,Matic,70
 Aleksandar,Mitrovic,70
 Adem,Ljajic,70
 Luka,Milivojevic,70
 Filip,Kostic,70
 Dusko,Tosic,70
 Andrija,Zivkovic,70
 Aleksandar,Prijovic,70
 Predrag,Rajkovic,70
 Marko,Grujic,70
 Sergej,Milinkovic-Savic,70
 Nikola,Milenkovic,70
 Uros,Spajic,70
 Nemanja,Radonjic,70
 Milos,Veljkovic,70
 Marko,Dmitrovic,70
 Luka,Jovic,70
 Milan,Rodic,70
 Stephan,Lichtsteiner,75
 Valon,Behrami,75
 Johan,Djourou,75
 Xherdan,Shaqiri,75
 Blerim,Dzemaili,75
 Gelson,Fernandes,75
 Granit,Xhaka,75
 Ricardo,Rodriguez,75
 Haris,Seferovic,75
 Fabian,Schär,75
 Yann,Sommer,75
 Josip,Drmic,75
 Breel,Donald,75
 Michael,Lang,75
 François,Moubandje,75
 Mario,Gavranovic,75
 Steven,Zuber,75
 Denis,Zakaria,75
 Manuel,Akanji,75
 Remo,Freuler,75
 Roman,Burki,75
 Nico,Elvedi,75
 Yvon,Mvogo,75
 Sebastian,Larsson,74
 Andreas,Granqvist,74
 Michael,Lustig,74
 Ola,Toivonen,74
 Marcus,Berg,74
 Jimmy,Durmaz,74
 Martin,Olsson,74
 Emil,Forsberg,74
 Albin,Ekdal,74
 Victor,Nilsson,74
 Oscar,Hiljemark,74
 Isaac,Kiese,74
 Viktor,Claesson,74
 Robin,Olsen,74
 John,Guidetti,74
 Ludwig,Augustinsson,74
 Pontus,Jansson,74
 Emil,Krafth,74
 Gustav,Johan,74
 Marcus,Rohden,74
 Kristoffer,Nordfeldt,74
 Filip,Helander,74
 Karl,Johan,74
 Idrissa,Gueye,69
 Sadio,Mane,69
 Mame,Biram,69
 Moussa,Sow,69
 Serigne,Kara,69
 Cheikhou,Kouyate,69
 Lamine,Gassama,69
 Khadim,N'Diaye,69
 Kalidou,Koulibaly,69
 Moussa,Konate,69
 Cheikh,N'Doye,69
 Salif,Sane,69
 Alfred,N'Diaye,69
 Papa,Alioune,69
 Ismaila,Sarr,69
 Keita,Balde,69
 Abdoulaye,Diallo,69
 Saliou,Ciss,69
 Moussa,Wague,69
 Diafra,Sakho,69
 M'Baye,Niang,69
 Youssouf,Sabaly,69
 Alfred,Gomis,69
 Ali,Maaloul,79
 Aymen,Mathlouthi,79
 Syam,Ben,79
 Saber,Khalifa,79
 Ferjani,Sassi,79
 Fakhreddine,Ben,79
 Wahbi,Khazri,79
 Mohamed,Amine Amor,79
 Naim,Sliti,79
 Yassine,Meriah,79
 Hamdi,Nagguez,79
 Farouk,Ben,79
 Anice,Badri,79
 Rami,Bedoui,79
 Oussama,Haddadi,79
 Ghailene,Chaalali,79
 Ellyes,Skhiri,79
 Dylan,Bronn,79
 Saîf-Eddine,Khaoui,79
 Bassem,Srarfi,79
 Yohan,Benalouane,79
 Mouez,Hassen,79
 Ahmed,Khalil,79
 Maxi,Pereira,83
 Diego,Godin,83
 Cristian,Rodriguez,83
 Edinson,Cavani,83
 Luis,Suarez,83
 Fernando,Muslera,83
 Martin,Caceres,83
 Jose,Gimenez,83
 Cristhian,Stuani,83
 Carlos,Sanchez,83
 Sebastian,Coates,83
 Matias,Vecino,83
 Gaston,Silva,83
 Giorgian,De,83
 Nahitan,Nandez,83
 Martin,Silva,83
 Rodrigo,Bentancur,83
 Diego,Laxalt,83
 Lucas,Torreira,83
 Maximiliano,Gomez,83
 Guillermo,Varela,83
 Jonathan,Urretaviscaya,83
 Martin,Campana,83