id_pays,nom_pays,annees_participation
1,Afrique du Sud,"1998, 2002, 2010"
2,Algerie,"1982,1986, 2010, 2014"
3,Allemagne,"1934, 1938, 1954, 1962, 1966, 1970, 1973, 1978, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
4,Allemagne de l'Est,1974
5,Angleterre,"1950, 1954, 1958, 1962, 1966, 1970, 1982, 1986, 1990, 1998, 2002, 2006, 2010, 2014, 2018"
6,Angola,2006
7,Arabie saoudite,"1994, 1998, 2002, 2006, 2018"
8,Argentine,"1930, 1934, 1958, 1962, 1966, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
9,Australie,"1974, 2006, 2010, 2014, 2018"
10,Autriche,"1934, 1954, 1958, 1978, 1982, 1990, 1998"
11,Belgique,"1930, 1934, 1938, 1954, 1970, 1982, 1986, 1990, 1994, 1998, 2002, 2014, 2018"
12,Bolivie,"1930, 1950, 1994"
13,Bosnie Herzegovine,2014
14,Bresil,"1930, 1934, 1938, 1950, 1954, 1958, 1962, 1966, 1970, 1974, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
15,Bulgarie,"1962, 1966, 1970, 1974, 1986, 1994"
16,Cameroun,"1982, 1990, 1994, 1998, 2002, 2010, 2014"
17,Canada,1986
18,Chili,"1930, 1950, 1962, 1966, 1974, 1982, 1998, 2010, 2014"
19,Chine,2002
20,Colombie,"1962, 1990, 1994, 1998, 2014, 2018"
21,Coree du Nord,"1966,   2010"
22,Coree du Sud,"1954, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
23,Costa Rica,"1990, 2002, 2006, 2014, 2018"
24,Cote dâ€™Ivoire,"2006, 2010, 2014"
25,Croatie,"1998, 2002, 2006, 2014, 2018"
26,Cuba,1938
27,Danemark,"1986, 1998, 2002, 2010, 2018"
28,Ecosse,"1954,  1958,  1974,  1978,  1982,  1986,  1990,  1998"
29,Egypte,"1934, 1990, 2018"
30,Emirats arabes unis,1990
31,Equateur,"2002,  2006,  2014"
32,Espagne,"1934, 1950, 1962, 1966, 1978, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
33,Etats Unis,"1930, 1934, 1950, 1990, 1994, 1998, 2002, 2006, 2010, 2014"
34,France,"1930, 1934, 1938, 1954, 1958, 1966, 1978, 1982, 1986, 1998, 2002, 2006, 2010, 2014, 2018"
35,Ghana,"2006, 2010, 2014"
36,Grece,"1994, 2010, 2014"
37,Haiti,1974
38,Honduras,"1982, 2010, 2014"
39,Hongrie,"1934, 1938, 1954, 1958, 1962, 1966, 1978, 1982, 1986"
40,Inde,1950
41,Indonesie,1938
42,Irak,1986
43,Iran,"1978, 1998, 2006, 2014, 2018"
44,Irlande,"1990, 1994, 2002"
45,Irlande du Nord,"1958, 1982, 1986"
46,Islande,2018
47,Israel,1970
48,Italie,"1934, 1938, 1950, 1954, 1962, 1966, 1970, 1974, 1982, 1986, 1990, 1994, 1998, 2002, 2006, 2010, 2014"
49,Jamaique,1998
50,Japon,"1998, 2002, 2006, 2010, 2014, 2018"
51,Koweit,1982
52,Maroc,"1970, 1986, 1994, 1998, 2018"
53,Mexique,"1930, 1950, 1954, 1958, 1962, 1966, 1970, 1978, 1986, 1994, 1998, 2002, 2006, 2010, 2014, 2018"
54,Nigeria,"1994, 1998, 2002, 2010, 2014, 2018"
55,Norvege,"1938, 1994, 1998"
56,Nouvelle Zelande,"1982, 2010"
57,Panama,2018
58,Paraguay,"1930, 1950, 1958, 1986, 1998, 2002, 2006, 2010"
59,Pays Bas,1958
60,Pays de Galles,"1934, 1938, 1974, 1978, 1990, 1994, 1998, 2006, 2010, 2014"
61,Perou,"1930, 1970, 1978, 1982, 2018"
62,Pologne,"1938, 1974, 1978, 1982, 1986, 2002, 2006, 2018"
63,Portugal,"1966, 1986, 2002, 2006, 2010, 2014, 2018"
64,Republique Democratique du Congo,1974
65,Republique tcheque,2006
66,Roumanie,"1930, 1934, 1938, 1970, 1990, 1994, 1998"
67,Russie,"1994, 2002, 2014, 2018"
68,Salvador,"1970, 1982"
69,Senegal,"2002, 2018"
70,Serbie,"2010, 2018"
71,Serbie et Montenegro,"1998, 2006"
72,Slovaquie,2010
73,Slovenie,"2002, 2010"
74,Suede,"1934, 1938, 1950, 1958, 1970, 1974, 1978, 1990, 1994, 2002, 2006, 2018"
75,Suisse,"1934, 1938, 1950, 1954, 1962, 1966, 1994, 2006, 2010, 2014, 2018"
76,Tchecoslovaquie,"1934, 1938, 1954, 1958, 1962, 1970, 1982, 1990"
77,Togo,2006
78,Trinite et Tobago,2006
79,Tunisie,"1978, 1998, 2002, 2006, 2018"
80,Turquie,"1954, 2002"
81,Ukraine,2006
82,Union sovietique,"1958, 1962, 1966, 1970, 1982, 1986, 1990"
83,Uruguay,"1930, 1950, 1954, 1962, 1966, 1970, 1974, 1986, 1990, 2002, 2010, 2014, 2018"
84,Yougoslavie,"1930, 1950, 1954, 1958, 1962, 1974, 1982, 1990"